Filiale;CAG;Nominativo;NumAzioni;ValoreNominale;DataRichiesta;Note;AccoglimentoRecesso;EsclusoArt6;EsclusoArt14;EsclusoSofferenza;DataOperaz;Operaz;DataLettera;AnnoLiquid
100;321267;BETTINI AUTOMOBILI SRL ;310;9327;09/04/2021;;;;;S;13/03/2021;X3;24/05/2021;2022
100;1132176;COOPERATIVA AGRICOLA DI LEGNAIA;100;3009;16/01/2020;;;;;S;16/01/2020;X3;21/01/2020;2021
100;3271106;COSMO SPA;137;4122;22/10/2020;Non segnalato a suo tempo il passaggio a Sofferenze da Uff.Soff.;;;;S;01/06/2021;X3;;2021
100;3263407;DUESSE SRL;85;2557;22/12/2020;Rapporti chiusi ;;;S;;15/01/2021;X3;18/01/2021;2022
100;348965;FASS S.P.A. ;0;0;05/02/2021;NO Esclusione - Delibera corretta da CDA 23.04.21 per unità di rappr.aperta;;S;;;08/02/2021;;08/02/2021;2022
100;1130913;FIRENZE SETA SRL;100;3009;17/02/2020;;;;;S;17/02/2020;X3;;2021
100;312183;FORAGGI SENESI SRL IN LIQUIDAZIONE;40;1203;07/06/2019;;;;;S;10/06/2019;X3;;2020
100;312834;INTERSYS SRL;40;1203;17/05/2019;;;;;S;17/05/2019;X3;;2020
100;3033075;NOVE ALPI S.R.L.;137;4122;03/09/2019;;;;;S;29/11/2019;X3;03/12/2019;2020
100;304996;PALISSANDRO MARMI SSRL;350;10531;07/04/2021;PEC - Rapporti Chiusi;;;S;;27/05/2021;X3;27/05/2021;2022
100;3275885;PELLAMI MACCHINI DI MACCHINI ALESSANDRO E ENRICO SNC;377;11343;07/06/2019;;;;;S;10/06/2019;X3;;2020
100;400247;TEXJET GROUP S.R.L. ;40;1203;22/10/2020;Non segnalato a suo tempo il passaggio a Sofferenze da Uff.Soff.;;;;S;01/06/2021;X3;;2021
100;3211859;TEXSUS S.P.A. ;102;3069;05/02/2021;Perdita requisiti (revisione) - Residenza fuori zona;;S;;;08/02/2021;X3;08/02/2021;2022
100;274294;TOSCO MARMI SPA;8;240;14/06/2021;MAIL - Rapporti Chiusi;;;S;;01/07/2021;X3;05/07/2021;2022
