Fascia;Area;AnnoMeseEvento;qta
Fascia 1 (18-30 anni);CAMPI-PRATO;202101;5
Fascia 1 (18-30 anni);CAMPI-PRATO;202102;2
Fascia 1 (18-30 anni);CAMPI-PRATO;202103;11
Fascia 1 (18-30 anni);CAMPI-PRATO;202105;10
Fascia 1 (18-30 anni);CAMPI-PRATO;202107;6
Fascia 1 (18-30 anni);CAMPI-PRATO;202108;2
Fascia 1 (18-30 anni);CAMPI-PRATO;202109;1
Fascia 1 (18-30 anni);CAMPI-PRATO;202110;1
Fascia 1 (18-30 anni);CAMPI-PRATO;202111;4
Fascia 1 (18-30 anni);CAMPI-PRATO;202112;3
Fascia 1 (18-30 anni);CAMPI-PRATO;202201;1
Fascia 1 (18-30 anni);CAMPI-PRATO;202202;3
Fascia 1 (18-30 anni);CAMPI-PRATO;202203;9
Fascia 1 (18-30 anni);CAMPI-PRATO;202204;6
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202101;15
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202102;9
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202103;15
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202105;21
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202106;1
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202107;10
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202108;12
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202109;3
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202110;8
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202111;8
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202112;5
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202201;3
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202202;8
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202203;12
Fascia 1 (18-30 anni);CHIANTI-FIRENZE;202204;7
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202101;5
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202102;2
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202103;7
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202105;12
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202107;4
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202108;2
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202109;7
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202110;6
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202111;9
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202112;6
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202202;3
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202203;9
Fascia 1 (18-30 anni);PISTOIA-TIRRENO;202204;4
Fascia 1 (18-30 anni);SIENA;202101;7
Fascia 1 (18-30 anni);SIENA;202102;1
Fascia 1 (18-30 anni);SIENA;202103;7
Fascia 1 (18-30 anni);SIENA;202105;23
Fascia 1 (18-30 anni);SIENA;202106;1
Fascia 1 (18-30 anni);SIENA;202107;5
Fascia 1 (18-30 anni);SIENA;202108;8
Fascia 1 (18-30 anni);SIENA;202109;1
Fascia 1 (18-30 anni);SIENA;202110;8
Fascia 1 (18-30 anni);SIENA;202111;10
Fascia 1 (18-30 anni);SIENA;202112;12
Fascia 1 (18-30 anni);SIENA;202201;3
Fascia 1 (18-30 anni);SIENA;202202;8
Fascia 1 (18-30 anni);SIENA;202203;7
Fascia 1 (18-30 anni);SIENA;202204;3
Fascia 1 (18-30 anni);_Chiusa_;202103;3
Fascia 1 (18-30 anni);_Chiusa_;202107;1
Fascia 1 (18-30 anni);_Chiusa_;202109;1
Fascia 1 (18-30 anni);_Chiusa_;202110;2
