AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
202101;124;47;26;29;19;1;64;16;13;14;18;1
202102;122;44;26;30;19;0;154;55;26;39;27;1
202103;248;65;66;54;56;1;158;55;28;42;30;0
202104;2;0;1;1;0;0;31;10;6;7;6;1
202105;430;121;117;96;79;1;113;31;24;22;25;4
202106;21;4;5;9;2;0;70;24;15;15;12;1
202107;164;45;39;34;40;0;32;11;9;1;8;1
202108;203;61;69;25;41;2;118;48;20;14;30;1
202109;88;22;21;26;15;0;32;14;6;3;7;0
202110;137;42;40;28;19;0;58;14;13;13;15;0
202111;231;62;59;62;40;0;92;28;27;20;13;2
202112;135;39;40;25;20;0;91;27;23;16;18;2
202201;74;17;27;10;18;1;62;19;12;11;18;0
202202;110;39;24;22;17;2;51;19;12;8;11;0
202203;255;70;47;75;53;1;160;56;27;33;32;3
202204;178;58;40;35;37;0;101;42;24;13;17;0
202205;2;0;1;1;0;0;0;0;0;0;0;0


Area;AnnoMeseEvento;Entrate;Uscite;Diff;Perc
CAMPI-PRATO;202101;19;18;1;94.74
CAMPI-PRATO;202102;19;27;-8;142.11
CAMPI-PRATO;202103;56;30;26;53.57
CAMPI-PRATO;202104;0;6;-6;
CAMPI-PRATO;202105;79;25;54;31.65
CAMPI-PRATO;202106;2;12;-10;600.00
CAMPI-PRATO;202107;40;8;32;20.00
CAMPI-PRATO;202108;41;30;11;73.17
CAMPI-PRATO;202109;15;7;8;46.67
CAMPI-PRATO;202110;19;15;4;78.95
CAMPI-PRATO;202111;40;13;27;32.50
CAMPI-PRATO;202112;20;18;2;90.00
CAMPI-PRATO;202201;18;18;0;100.00
CAMPI-PRATO;202202;17;11;6;64.71
CAMPI-PRATO;202203;53;32;21;60.38
CAMPI-PRATO;202204;37;17;20;45.95
CAMPI-PRATO;TOTALE;475;287;188;60.42
CENTRO IMPRESE;202101;1;1;0;100.00
CENTRO IMPRESE;202102;0;1;-1;
CENTRO IMPRESE;202103;1;0;1;0.00
CENTRO IMPRESE;202104;0;1;-1;
CENTRO IMPRESE;202105;1;4;-3;400.00
CENTRO IMPRESE;202106;0;1;-1;
CENTRO IMPRESE;202107;0;1;-1;
CENTRO IMPRESE;202108;2;1;1;50.00
CENTRO IMPRESE;202111;0;2;-2;
CENTRO IMPRESE;202112;0;2;-2;
CENTRO IMPRESE;202201;1;0;1;0.00
CENTRO IMPRESE;202202;2;0;2;0.00
CENTRO IMPRESE;202203;1;3;-2;300.00
CENTRO IMPRESE;TOTALE;9;17;-8;188.89
CHIANTI-FIRENZE;202101;47;16;31;34.04
CHIANTI-FIRENZE;202102;44;55;-11;125.00
CHIANTI-FIRENZE;202103;65;55;10;84.62
CHIANTI-FIRENZE;202104;0;10;-10;
CHIANTI-FIRENZE;202105;121;31;90;25.62
CHIANTI-FIRENZE;202106;4;24;-20;600.00
CHIANTI-FIRENZE;202107;45;11;34;24.44
CHIANTI-FIRENZE;202108;61;48;13;78.69
CHIANTI-FIRENZE;202109;22;14;8;63.64
CHIANTI-FIRENZE;202110;42;14;28;33.33
CHIANTI-FIRENZE;202111;62;28;34;45.16
CHIANTI-FIRENZE;202112;39;27;12;69.23
CHIANTI-FIRENZE;202201;17;19;-2;111.76
CHIANTI-FIRENZE;202202;39;19;20;48.72
CHIANTI-FIRENZE;202203;70;56;14;80.00
CHIANTI-FIRENZE;202204;58;42;16;72.41
CHIANTI-FIRENZE;TOTALE;736;469;267;63.72
PISTOIA-TIRRENO;202101;29;14;15;48.28
PISTOIA-TIRRENO;202102;30;39;-9;130.00
PISTOIA-TIRRENO;202103;54;42;12;77.78
PISTOIA-TIRRENO;202104;1;7;-6;700.00
PISTOIA-TIRRENO;202105;96;22;74;22.92
PISTOIA-TIRRENO;202106;9;15;-6;166.67
PISTOIA-TIRRENO;202107;34;1;33;2.94
PISTOIA-TIRRENO;202108;25;14;11;56.00
PISTOIA-TIRRENO;202109;26;3;23;11.54
PISTOIA-TIRRENO;202110;28;13;15;46.43
PISTOIA-TIRRENO;202111;62;20;42;32.26
PISTOIA-TIRRENO;202112;25;16;9;64.00
PISTOIA-TIRRENO;202201;10;11;-1;110.00
PISTOIA-TIRRENO;202202;22;8;14;36.36
PISTOIA-TIRRENO;202203;75;33;42;44.00
PISTOIA-TIRRENO;202204;35;13;22;37.14
PISTOIA-TIRRENO;202205;1;0;1;0.00
PISTOIA-TIRRENO;TOTALE;562;271;291;48.22
SIENA;202101;26;13;13;50.00
SIENA;202102;26;26;0;100.00
SIENA;202103;66;28;38;42.42
SIENA;202104;1;6;-5;600.00
SIENA;202105;117;24;93;20.51
SIENA;202106;5;15;-10;300.00
SIENA;202107;39;9;30;23.08
SIENA;202108;69;20;49;28.99
SIENA;202109;21;6;15;28.57
SIENA;202110;40;13;27;32.50
SIENA;202111;59;27;32;45.76
SIENA;202112;40;23;17;57.50
SIENA;202201;27;12;15;44.44
SIENA;202202;24;12;12;50.00
SIENA;202203;47;27;20;57.45
SIENA;202204;40;24;16;60.00
SIENA;202205;1;0;1;0.00
SIENA;TOTALE;648;285;363;43.98
_Chiusa_;202101;2;2;0;100.00
_Chiusa_;202102;3;6;-3;200.00
_Chiusa_;202103;6;3;3;50.00
_Chiusa_;202104;0;1;-1;
_Chiusa_;202105;16;7;9;43.75
_Chiusa_;202106;1;3;-2;300.00
_Chiusa_;202107;6;2;4;33.33
_Chiusa_;202108;5;5;0;100.00
_Chiusa_;202109;4;2;2;50.00
_Chiusa_;202110;8;3;5;37.50
_Chiusa_;202111;8;2;6;25.00
_Chiusa_;202112;11;5;6;45.45
_Chiusa_;202201;1;2;-1;200.00
_Chiusa_;202202;6;1;5;16.67
_Chiusa_;202203;9;9;0;100.00
_Chiusa_;202204;8;5;3;62.50
_Chiusa_;TOTALE;94;58;36;61.70
;TOTALE;2524;1387;1137;54.95


Area;Filiale;AnnoMeseEvento;Entrate;Uscite;Diff;Perc
CAMPI-PRATO;036 Empoli ;202101;0;4;-4;
CAMPI-PRATO;036 Empoli ;202102;3;2;1;66.67
CAMPI-PRATO;036 Empoli ;202103;13;2;11;15.38
CAMPI-PRATO;036 Empoli ;202104;0;1;-1;
CAMPI-PRATO;036 Empoli ;202105;8;2;6;25.00
CAMPI-PRATO;036 Empoli ;202107;8;0;8;0.00
CAMPI-PRATO;036 Empoli ;202108;1;2;-1;200.00
CAMPI-PRATO;036 Empoli ;202109;2;1;1;50.00
CAMPI-PRATO;036 Empoli ;202110;1;2;-1;200.00
CAMPI-PRATO;036 Empoli ;202111;11;3;8;27.27
CAMPI-PRATO;036 Empoli ;202112;2;1;1;50.00
CAMPI-PRATO;036 Empoli ;202201;1;1;0;100.00
CAMPI-PRATO;036 Empoli ;202202;6;0;6;0.00
CAMPI-PRATO;036 Empoli ;202203;8;5;3;62.50
CAMPI-PRATO;036 Empoli ;202204;6;2;4;33.33
CAMPI-PRATO;036 Empoli ;TOTALE;70;28;42;40.00
CAMPI-PRATO;040 Campi Buozzi ;202101;4;2;2;50.00
CAMPI-PRATO;040 Campi Buozzi ;202102;5;5;0;100.00
CAMPI-PRATO;040 Campi Buozzi ;202103;15;4;11;26.67
CAMPI-PRATO;040 Campi Buozzi ;202104;0;4;-4;
CAMPI-PRATO;040 Campi Buozzi ;202105;20;2;18;10.00
CAMPI-PRATO;040 Campi Buozzi ;202106;0;1;-1;
CAMPI-PRATO;040 Campi Buozzi ;202107;14;3;11;21.43
CAMPI-PRATO;040 Campi Buozzi ;202108;13;5;8;38.46
CAMPI-PRATO;040 Campi Buozzi ;202109;1;2;-1;200.00
CAMPI-PRATO;040 Campi Buozzi ;202110;5;3;2;60.00
CAMPI-PRATO;040 Campi Buozzi ;202111;7;2;5;28.57
CAMPI-PRATO;040 Campi Buozzi ;202112;2;4;-2;200.00
CAMPI-PRATO;040 Campi Buozzi ;202201;1;4;-3;400.00
CAMPI-PRATO;040 Campi Buozzi ;202202;5;0;5;0.00
CAMPI-PRATO;040 Campi Buozzi ;202203;6;2;4;33.33
CAMPI-PRATO;040 Campi Buozzi ;202204;17;3;14;17.65
CAMPI-PRATO;040 Campi Buozzi ;TOTALE;115;46;69;40.00
CAMPI-PRATO;041 Calenzano ;202101;2;1;1;50.00
CAMPI-PRATO;041 Calenzano ;202102;3;1;2;33.33
CAMPI-PRATO;041 Calenzano ;202103;5;2;3;40.00
CAMPI-PRATO;041 Calenzano ;202105;12;2;10;16.67
CAMPI-PRATO;041 Calenzano ;202106;2;1;1;50.00
CAMPI-PRATO;041 Calenzano ;202107;1;1;0;100.00
CAMPI-PRATO;041 Calenzano ;202108;3;3;0;100.00
CAMPI-PRATO;041 Calenzano ;202109;5;1;4;20.00
CAMPI-PRATO;041 Calenzano ;202110;5;1;4;20.00
CAMPI-PRATO;041 Calenzano ;202111;4;1;3;25.00
CAMPI-PRATO;041 Calenzano ;202112;2;2;0;100.00
CAMPI-PRATO;041 Calenzano ;202201;5;3;2;60.00
CAMPI-PRATO;041 Calenzano ;202202;1;0;1;0.00
CAMPI-PRATO;041 Calenzano ;202203;8;2;6;25.00
CAMPI-PRATO;041 Calenzano ;202204;1;2;-1;200.00
CAMPI-PRATO;041 Calenzano ;TOTALE;59;23;36;38.98
CAMPI-PRATO;043 Prato Ferrucci;202101;5;4;1;80.00
CAMPI-PRATO;043 Prato Ferrucci;202102;4;6;-2;150.00
CAMPI-PRATO;043 Prato Ferrucci;202103;5;8;-3;160.00
